编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
23610,小孩持港澳通行证走跨境学童通道多次被阻拦，险些走失,深圳市人民政府口岸办公室,2014.09.10,2014.09.16,"今年9月1日，我的孩子成为了一名中港跨境血学童。与大多数孩子不同的是，小孩拿港澳通行证（逗留签注）过关，而不是回乡证。结果，一共出关5次，走学童通道1次放行4次不给过并叫孩子走特殊通道，9月2日，由于送行阿姨没有证件过不了关，保姆公司在另一边没有接应，孩子在两关之间走失一个钟头才被发现。事发后，我多次咨询福田口岸都勤办和咨询电话，都被告知持通行证的小童是可以跟随保姆公司走学童通道，但事实却屡次被阻拦。打电话（84497500）咨询，被要求说等到下次被拦截时要我们当面询问监察人员被拦截的原因。我们都是家长，要上班，不能每天都陪同孩子到口岸去询问被拦截的人员，再打咨询电话去解决，这样不仅孩子跟不上大队伍，对于我们的接送以及其他孩子的过关都有影响。为什么这样属于内部不统一的原因，口岸不能立文明确，自己内部检查一下，而是要求我们要每次都去询问不给放行的原因呢？个人认为这是口岸的边检出境处工作人员对政策的理解不到位造成的，个别人员对待我们态度非常恶略，说“昨天给过了，那是因为昨天不是我在这！”到今天我写这封信时，我的小孩还是不能正常过关。在此恳请口岸相关部门对此事认真调研，我们已经打了无数次咨询电话，当面找都勤办若干次，但每次都是讲的很好，到实际过关的时候就被阻拦。从相关回深圳入中国关暂时没有问题，都可以走学童通道进入。
		","你好，我们把你反映的情况已转给了深圳边检，待边检按程序处理有结果后，我们再进一步给你回复。——（后续处理结果：从你回复的情况来看，说明深圳边检已予你进行了有效的沟通，并且满意解决了你所反映的情况，感谢你对深圳口岸工作支持和理解。）
",0.0
23463,关于货物已申报出口，但实际未出的解决办法,深圳市人民政府口岸办公室,2014.09.30,2014.10.08,"9-24日我公司有一批货，从广州邮关出货，品名尿素，出货当日海关审价扣货，第三日我们提供好单据后，海关放行。由于报关员刚来，对流程不是太熟，当晚并未从海关监管仓将货提出来跟车下港，但是已报好关，海关系统显示货已出。但实际货还在监管仓。后我们公司将情况说明给广州邮关，他们说没遇过这个情况，这是出口骗税。处理不了，叫我们找皇岗海关。请给我们处理的办法！我们要怎么做，货才能放行！
		","
请咨询深圳海关，电话：0755-84398999或皇岗海关，电话：0755-84396789。
",1.3100631690576847e-14
8550,护照电子如今缺盖入境章,深圳市人民政府口岸办公室,2016.09.05,2016.09.05,"本人于2016年7月28日在持护照从香港通过深圳湾回到境内。入境时工作人员推荐我走电子通道，方便快捷的通关了。可后来在办理其他国家的旅游签证时领事馆通知我缺少入境章。每次都因为缺当天的入境章导致办理旅游签证出现麻烦。现想申请再到深圳湾补盖入境章以免往后旅行的麻烦。计划10月2日至10月5日到港澳旅游，想了解国庆期间还能否办理补章这业务
		","
请您咨询深圳海关，电话：0755-84398999；深圳边检总站，电话：0755-82321000。
",4.799556307943931e-10
22389,港澳签注到期当日能否去香港,深圳市人民政府口岸办公室,2014.12.19,2014.12.22,"你好，我的港澳通行证还有一次没有使用，但刚好在到期当日有事须去香港，本想提前申请新签注，但户口地公安局说没到期不可以办，请问到期当日我还可以过关去香港吗？我在当日24点前回大陆来。另外我的是L签。
		","在你的港澳通行证签注到期的当日可以过关去香港。具体请咨询深圳边检，电话：0755-84498000。
",1.0556494678404249e-08
23764,福田口岸东渔农村片区的交通以及片区的绿地等环境建设,深圳市人民政府口岸办公室,2014.08.22,2014.08.28,"贵部领导和同仁： 1） 很早就看到福田口岸渔农村片区规划的出行道路图则，但是迟迟未见动工，请问何时动工？碰到了什么困难？ 目前整个片区只有一个出口，加上口岸的车流巨大，一到周末赛车严重，污染日益加剧，人流车流混杂一片，隐患重重。 2）口岸东边的旧公寓楼，已经圈了几年，但迟迟未见拆除，传闻政府拆迁补偿已发，但是没有到住户手里，造成僵持。请问政府有何举措尽快解决？有无计划？ 口岸片区，作为深圳的形象，一进关就面对残破的楼房，拥挤的人流，尾气萦绕的车流，作何感想？福田口岸是否应该加大改造力度？ 3）口岸东渔农村片区，高楼林立，人口密集，但是几乎没有绿地，小朋友，老人活动场地匮乏。请问有规划吗？有无明确计划？ 深圳河，沿岸十几公里，多么好的自然生态，现在的边界线已经没有实际意义，况且香港侧还有一道边界。完全可以把河北岸开放，作为沿线居民的休闲活动场地。对于口岸东的渔农村片区价值尤其大，因为整个片区没有绿地，更没有公园。 
		","蔡旭鹏先生：
??? 对您所提的“福田口岸东渔农村片区的交通以及片区的绿地等环境建设”三个方面的问题，经我办组织专人到现场调研了解，所提问题属实，但不属口岸办职能和口岸管辖区域范围。针对所提问题诚恳地建议您向下列部门反映：
??? 一、“福田口岸东渔农村片区的出行道路规划问题”，属市交通运输委事权，建议向市交通运输委反映您的合理化意见。
??? 二、“口岸东边旧公寓楼拆迁问题”，我市成立了由规划国土委和市航运集团公司组成的拆迁办，建议向负责该拆迁工作的市规划国土委及市航运集团有限公司提出您的合理化意见。
??? 三、“口岸东渔农村片区绿地建设问题”，属市城管局事权，建议向市城管局提出您的合理化意见。
市口岸办
2014年8月27日
",1.4859154351398729e-08
21851,福田口岸遗失东西应该怎么办？,深圳市人民政府口岸办公室,2015.01.25,2015.01.26,"我今天在福田口岸遗失了一个包包，可是我在上车后才发现自己的包包不见了，迫切想找回可是已经出了深圳以外，所以我就上网找深圳相关派出所的电话号码，可是打的电话都是说他们不管福田口岸的。我想请问福田口岸没有派出所吗？如果人不在深圳可以有什么办法可以咨询到福田口岸有无自己的失物呢？
		","请打电话询问，福田口岸管理处，电话：82760262和福田口岸边检站，电话：83395171。
",6.193946144872342e-08
8768,想到东莞工作的日本人要到深圳哪个口岸申请Z工作签证,深圳市人民政府口岸办公室,2016.08.25,2016.08.25,"东莞口入境告知，以前办Z签证之前要先拿到就业许可证，但是从2016年8月1日起要到深圳口岸处申请Z签证后，再回东莞办就业证。请问是深圳哪个口岸？要带些什么证件？有没有相关规定？请答复。谢谢
		","
请您咨询广东省公安厅驻深圳签证处，电话：0755-82327700；
",1.6139343561594188e-07
6259,關於領新回鄉卡后的過關問題,深圳市人民政府口岸办公室,2016.11.21,2016.11.21,"您好，本人想查詢一下關於大約半年前換了新卡后，差不多每一次在深圳的口岸用人工過關，這情況多發生於皇崗口岸，您們關口的職員都要求本人出示香港身份證給予查看，並很懷疑的眼神和態度花了比別人更長的時間才讓我通過，我實在感覺疑惑，到底是我的証件資料出了問題嗎？希望貴部門能予以協助，令問題早日解決，謝謝。 
","建议您咨询深圳边检总站，电话：0755-82321000。
",1.7353602144165592e-07
15003,关于2015年9月15日-2015年11月1日期间查验服务费退费的相关事宜,深圳市人民政府口岸办公室,2015.12.17,2015.12.21,"2015年10月份口岸办公室发布通知，外贸企业在2015年9月15日至11月1日期间，已支付的查验服务费用中，属于查验没有问题范围应予免除的，由外贸起亚凭《深圳口岸免除查验没有问题作业服务费用确认表》向口岸查验服务企业申请退费，请问是否有这样的通知，并请解答如何操作？谢谢！
		","市口岸办网站发布了退费公告，如您所述9月15日至11月1日符合退费条件的将给予退费，由于退费涉及的单位多，包括市财委、市口岸办、口岸服务企业以及外贸企业等众多单位，同时退费还涉及相关税费等问题，所以我办正积极协调有关部门，尽快出台退费的具体实施细节和要求，届时并会在我办网站上进行发布，请关注我办网站http://www.szka.gov.cn谢谢！
",1.9307467069573647e-07
4609,关于装修进口材料报关单查询,深圳市人民政府口岸办公室,2017.01.10,2017.01.11,"您好，我是昆明监理公司的职工，是这样的，我们负责监理的某个工地使用了进口装修材料，施工单位资料报审的过程中“经过在中华人民共和国海关总署通关状态查询”时显示该报关单不存在，但海关编号查询显示已结关，请问这有效吗？
		","建议您咨询深圳海关，深圳海关门户网站（http://shenzhen.customs.gov.cn），在“业务咨询”栏目中留言与深圳海关联系，也可拨打深圳海关“12360”服务热线。
",1.3216624576983804e-06
9285,8月2日台风影响口岸停运，公章文件,深圳市人民政府口岸办公室,2016.08.02,2016.08.03,"8月2日台风影响口岸停运，预定2间香港酒店因天气原因不能去住，酒店退房要求客户出示停运的公章文件。
		","已与您取得电话联系，事情已解决。感谢您对口岸工作的关心与支持。
",1.887341667394793e-06
7285,关于非永久性澳门居民从内地往港的问题咨询,深圳市人民政府口岸办公室,2016.10.17,2016.10.17,"你好！我有一位持非永久性澳门居民身份证的家人，我们计划一起从内地过关到香港个人旅游，她已办理了澳门往来香港特别行政区旅游证，同时持有非永久性澳门居民身份证和回乡证，是否可以和我一起在深圳罗湖口岸过关到香港？入境时是否还要到哪里拿入境申请表填写？请尽可详细回复，谢谢！
		","请您咨询广东省公安厅驻深签证处，电话：0755-82327700。
",2.17936706092825e-06
9309,香港逗留签可否一天两次入境大陆,深圳市人民政府口岸办公室,2016.08.02,2016.08.03,"您好。我现在因在港工作持有一年多次的逗留签。计划早上从香港入境深圳，下午从深圳入境香港。晚上再从香港入境珠海。不知道这种一天两次入境大陆是否可以？谢谢！
		","
请您咨询深圳边检总站，电话：0755-82321000。
广东省公安厅驻深签证处，电话：0755-82327700。
",5.2727736629121225e-06
2768,咨询海关地址和邮编,深圳市人民政府口岸办公室,2017.03.08,2017.03.09,"1请问5345是不是深圳湾海关，他的具体地址和邮编是多少，我有一张海关税单比对异常，需要税务发函至海关，麻烦告知，谢谢！
		","
建议您咨询深圳海关，深圳海关门户网站（http://shenzhen.customs.gov.cn），在“业务咨询”栏目中留言与深圳海关联系，也可拨打深圳海关“12360”服务热线。
?
",6.474025632807745e-06
1316,现在从福田口岸入境是否没入境章了,深圳市人民政府口岸办公室,2017.04.07,2017.04.07,"我在银行工作，对于持护照的客户需要辩别护照，现有一马来西亚人，显示4月5日从台湾出境，从深圳福田口岸入关，但护照上没入境纪录，据客户解释，福田口岸现在都是刷护照即可入关。我想核实下是否有这回事
		","建议你咨询深圳边检总站，电话：0755-82321000。
",8.685757423965157e-06
22929,2006年办理的“快捷通”通关保证金和车卡押金能否退款,深圳市人民政府口岸办公室,2014.11.17,2014.11.24,"2006年我公司在贵口岸办理的“快捷通”通关保证金和车卡押金现在能否退款？如能退款，手续应该到哪里办理？
		","
??? “快捷通”通关保证金和车卡押金由原深圳市商业银行收取，2007年商业银行被平安银行合并，经与平安银行客服电话95511咨询，只要持有效收据、证明等到开户行，可以办理退款手续。
??? 办理“快捷通”通关保证金和车卡押金退款手续的流程如下：
??? 1、办理地点：平安银行（原商业银行）开户点。
??? 2、操作流程：办理人员带上身份证原件和复印件各一份、通关保证金单据（400元），车卡押金单据（400元），以及司机与商业银行签订的协议书到平安银行开户行柜台办理。
",1.1987847937988683e-05
9415,海关没把离港申报表收去并且没盖出入境章,深圳市人民政府口岸办公室,2016.07.26,2016.07.27,"本人一家三口参加泰新马游于7月25日下午5时经香港国际机场进入香港，大约7时30分坐车经皇岗口岸回到深圳。回来后收拾东西时发现我的护照内夹的“旅客离港申报表”仍夹在护照内，而家人的“申报表”已被收走且盖了“皇岗（入）”，因当时是三本护照一起交给海关人员的，出现这种情况，是由于工作人员忘盖章还是根本没记录我的入境？我该怎么办？
		","请您咨询深圳海关，电话：0755-84398999。
",2.0119333131729533e-05
2121,从香港回来深圳走自助通道没有入境章,深圳市人民政府口岸办公室,2017.03.17,2017.03.21,"你好！本人从香港回来深圳走了自助通道，没有入境章。现在要去办马来西亚签证，遇到麻烦，请问能否帮我补盖入境章呢？？请问口岸周日能不能补办出入境记录和补盖入境章？
		","建议你咨询深圳边检总站，电话0755-82321000，或登录深圳边检总站官网（http://www.szbj.gov.cn），业务咨询栏目进行网上咨询。
",2.580354310399713e-05
7432,我们公司是否需要取得相应许可证等经营资质,深圳市人民政府口岸办公室,2016.10.10,2016.10.11,"我们公司经营范围为 “船舶轮机工程（凭许可证经营）；船舶维修”，因公司需要为深圳的公司提供海洋工程和其它各类船舶的机械设备安装、调试、维修及铁舾装安装工程等技术服务，请问我们公司是否需要在深圳有关管理部门取得相应许可证等资质才能够经营？我们公司还需要取得哪些特殊资质、许可、认证或特许经营权？
		","请您咨询深圳海事局，电话：0755-83797087。
",2.794805239025866e-05
