编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
7901,清华大学深圳研究生院留学生居留证问题,深圳市人民政府外事办公室,2016.09.21,2016.09.23,"尊敬的深圳外事办领导您好！尼泊尔JHA先生申请获得清华大学的研究生留学资格，清华大学留学办为JHA?先生提供了《外国留学人员来华签证申请表?JW202>,编号：13059676.?申请表上盖有清华大学的公章。JHA?先生被清华大学分配到清华大学研究生院就读。JHA先生于8月25日从广州机场入境后在清华大学深圳研究生院办理了全部入学手续，但是，JHA先生去深圳公安局出入境管理处申请居留许可时被告知不能在深圳申请，要求他回北京申请居留许可。可是，JHA?先生并没有在清华大学的北京校区上学，不能提供有效的居住文件，也就是说在北京办理居留许可也是有问题的。中国驻外使馆为JHA?先生提供的学生签证上明确要求入境之日起30日办理居留证件。但自JHA?先生8月25日从广州入境后已经快到30天，深圳公安不认北京的申请表，北京公安不认深圳的居住文件，两地的公安都因为文件问题不能提供居留许可。请外事办的领导研究一个解决方案，尽快解决此问题。非常感谢！
		","??? 我办于9月21日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1.您所关注的尼泊尔籍入境人员办理学习签证的事情应该是申请《外国留学人员来华签证申请表》（JW201或JW202表）的有关事宜，我办已经受理该学生的申请；??? 2.由于您所咨询的关于《外国留学人员来华签证申请表》的问题涉及到具体操作，为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。 ??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",0.0
22377,外国人办理《邀请确认函》不在国籍国办理，人在深圳,深圳市人民政府外事办公室,2014.12.22,2014.12.24,"您好，我们公司股东之一要办理深圳的工作签证，外事办说《邀请确认函》要有香港的工作签证才可以办理，中国驻香港的特派公署上面办理来中国的工作签证要有《邀请确认函》才可以。这2个不是矛盾的吗？外国人已经在深圳，不想回国办理。我看外事办网页申请外国人来华《邀请确认函》审批，里面的资料没有邀请要有香港的工作签证才可以办理《邀请确认函》，请问该如何办理?是否去公安局办理就业居留许可，有深圳的居留证就可以办理《邀请确认函》？
		","??? 我办于12月22日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1.申办外国人来深商务类或就业类《邀请确认函》的签证地点需选择外国人国籍国；??? 2.如需在第三国办理签证，须提供第三国证件（身份证、居住证、工作签证三者之一的证件）。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",2.4087398742267396e-12
3085,无法登陆系统,深圳市人民政府外事办公室,2017.03.02,2017.03.06,"我司为深圳长濑贸易有限公司，在申请外国人来华《邀请确认函》网上申报系统的用户名中，输入我司组织机构代码及密码均无误，但系统提示我单位还没有注册。点击注册按钮后，被提示填写组织机构代码共9位数，可是组织机构代码明明就不止九位数。我不知道要怎么操作了。打你们的咨询电话也是没有接听的。我司以前已经办过多次邀请函的申请了。但是系统却提示我司未注册。。。。麻烦告诉我怎么登录进系统。。。谢谢
		","??? 我办于3月2日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1.您所关注的邀请确认函事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/下载最新申请外国人来深《邀请确认函》办理指南（2016年4月14日更新）了解具体申办材料；??? 2.我办已与您电话沟通，并已通过电话协助您解决了所咨询的问题。经核查，贵单位在我办网上申报系统已有注册过，申请外国人来深《邀请确认函》网上申报系统的用户名仍是使用单位原9位数组织机构代码号，贵单位的组织机构代码信息可以登录深圳市信用网https://www.szcredit.org.cn/web/index.html进行查询；??? 3.由于全市外国人来深《邀请确认函》业务只有一个咨询电话，业务繁忙时请咨询人员耐心等待，不便之处敬请谅解；??? 4.由于您所咨询的邀请确认函问题涉及到具体操作，为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",2.793543174561819e-12
25293,如何办理被授权单位签证通知表？,深圳市人民政府外事办公室,2013.10.16,2013.10.23,"您好，我有南非客户要来我司观厂。我已经发了一份我司的邀请函，客户去中国驻约翰内斯堡大使馆办理签证时，大使馆要求其提供被授权单位签证通知表。 请问被授权单位签证通知表在哪里办理？需要提交哪些资料? 预计几天可办理完成？ 急盼回复。 谢谢！
		","??? 我办于10月16日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是申请外国人来深《邀请确认函》（原被授权单位签证通知表）的有关事宜，您可以登录深圳市外办网站www.szfao.gov.cn了解所需提交的资料，办理商务签证《邀请确认函》需4个审批工作日；??? 2．由于您所咨询的问题涉及到具体操作，为更方便您了解，您可以拔打咨询电话：82105982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",3.6850522633358196e-12
8324,申请外国人来华《邀请确认函》的审核和批准?,深圳市人民政府外事办公室,2016.09.12,2016.09.13,"您好。我要给美国的客户办理邀请确认函，有以下两个问题需要跟您确认下 1.《邀请外国人来华审批表》。该表格需在深圳市人民政府外事办公室网站（http://www.szfao.gov.cn）上申请外国人来华《邀请确认函》网上申报系统中申报成功后再打印。 请问此项如何下网上申报，能否告知大概的步骤 2.?2．详细申请报告，须用带有申请单位名称、地址、电话、传真的信笺纸，并用简体中文打印。申请报告需详述双方公司业务性质、具体来华目的、申请来华次数、预计来华时间和行程安排，被邀请外国人的基本信息（姓名、性别、国籍、出生年月、护照号及职业等），加盖公章。 请问此项?有没有大概的模板可以参考? 谢谢
		","??? 我办于9月12日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的美国客户商务类邀请确认函的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/201410/t20141019_2601330.htm了解《邀请确认函》网上申报步骤及注意事项；??? 2．登入http://203.175.146.23/rjxt/login.jsp(申请外国人来华《邀请确认函》网上申报系统)，网上申报后保存提交并打印《邀请外国人来华审批表》，经法人代表本人亲笔签字并加盖申请单位公章（打印后请留意《邀请外国人来华审批表》的右上角是否带有系统自动生成的条形码和入境报件号）； ??? 3．申请单位的详细申请报告将以下的信息点写全即可：?详述双方公司业务性质（如是申请来华工作签证则只需详述申请单位业务性质）；?具体来华目的；?申请来华次数；④预计来华时间；⑤行程安排；⑥被邀请外国人的基本信息（姓名、性别、国籍、出生年月、护照号及职务等）；??? 4．美国籍客户办理来深商务签证，申请单位可直接开具《邀请函》为其办理签证，无需到我办申办《邀请确认函》。关于《邀请函》相关内容要求，请致电中国驻美国使领馆进行咨询；??? 5．为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",2.58766341687533e-11
3603,办理APEC卡,深圳市人民政府外事办公室,2017.02.21,2017.02.22,"申请人本人为公司总经理即负责人。请问《深圳市APEC商务旅行卡报批表》下方的公司负责人签字是否可以是申请人本人签字？还是需要公司其他负责人签字？
		","??? 我办于2月22日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 《深圳市APEC商务旅行卡报批表》应由公司其他负责人签字。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
",2.9720448324610516e-11
17935,邀请外国认来华资料,深圳市人民政府外事办公室,2015.08.25,2015.08.25,"我司因对外投资办厂（已取得对外投资许可），需邀请几位巴基斯坦的人来学习，有网上申报后到窗口提交资料。第8项的双方公司往来共4项，第一次提交了两项（报关单和提单），说资料不全（4项必须有3项），我们回来跟航务公司沟通，结果是：现在提单上面已没有公章（扬明船），二是提单上面不会有发货公司名。回来也特别打电话问过窗口，回复可以不用船公司盖章。同时银行付款水单可用银行信用证代替。于下午我们再次提交，窗口又说信息错误：重点是船公司都不在提交上盖章了，我怎么提供？？？船公司不会因我一家公司来改变政策吧！同时说过4选3又没用了，一个企业要生存已很不容易了，大家办事也要根据行情变化来，公司是事实，有往来也是事实，投资也是事实，为什么就不能简化方便呢，死死的怎么来发展企业。
		","??? 我办于8月25日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1．您所关注的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站www.szfao.gov.cn了解；??? 2．由于您所咨询的问题涉及到具体操作，我办已与您进行了电话沟通，如有进一步需要了解的，您可以拔打咨询电话：82105982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",3.2335689681417534e-11
3587,办理APEC卡,深圳市人民政府外事办公室,2017.02.21,2017.02.22,"申请人本人是公司总经理，请问《深圳市APEC商务旅行卡报批表》下方的公司负责人签字可以是申请人本人签字吗？还是需要公司其他负责人签字？
		","??? 我办于2月22日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 《深圳市APEC商务旅行卡报批表》应由公司其他负责人签字。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",8.583067589995608e-11
7428,了解尼日利亚客户朋友来华商务邀请函申请流程和所需资料,深圳市人民政府外事办公室,2016.10.10,2016.10.11,"你好， 有尼日利亚2/3个商务客户想来华实地考察我司，具体情况如下：1. 来华人员中有来过中国从事商务活动，也有从未来过中国；2. 与我司曾经有过一次商务往来，有付款，但通过paypal分多人多次付款，原因是当地付款条件严苛。这次要求我司申请邀请函给他们入境申请，请问我应该去哪些行政部门办理？请问所需客户和我司哪些资料/文件？期待你的详细指教。
		","??? 我办于10月10日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1.您所关注的尼日利亚客户商务类邀请确认函的事情应该是申请外国人来深《邀请确认函》的有关事宜，您可以登录深圳市外办网站http://www.szfao.gov.cn/zxbs/ygcgfg/wg/下载最新申请外国人来深《邀请确认函》办理指南（2016年4月14日更新）了解具体申办材料；??? 2.申请临时商务签证《邀请确认函》需提交的材料：（1）申报。登入http://203.175.146.23/rjxt/login.jsp(申请外国人来华《邀请确认函》网上申报系统)；（2）申请单位的详细申请报告；（3）申请单位营业执照，验原件，收复印件；（4）最新商事主体登记及备案信息查询单的基本信息表格；（5）上年度全年的国税和地税纳税证明；（6）外国人有效护照复印件；（7）曾来华的外国人须提供最近一次来华的清晰签证页及出入境记录页复印件；（8）被邀请单位的派遣函复印件；（9）申请单位与被邀请单位商务往来、具有法律约束力相关证明文件。（如：①盖有申请单位报关专用章和海关验讫章（或放行章）的中国海关报关单及相匹配的盖有船务公司章的发货提单；②盖有银行公章的中国国内银行信用证；③盖有银行电子回单专用章或转（验）讫章或业务公章的中国国内银行收付款水单。申请单位可选择提供①②或者①③的复印件。）初次与外方被邀请单位合作往来无法提供第9点中上述材料者，必须提供被邀请单位的①商业登记资料、②税务登记资料、③附有公司名称标识的办公场所室内外实物照片（材料①②③均需提供，复印件即可）；? ??? 3.由于您所咨询的商务类邀请确认函问题涉及到具体操作，为更方便您了解，您可以拨打咨询电话：88125982进行具体的业务咨询。??? 谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",5.681883852304281e-10
5360,领事认证受理单，加急件，8天无消息,深圳市人民政府外事办公室,2016.12.09,2016.12.09,"尊敬的领导，见字好！我于上周五，12月2号早上9点向贵处提交小孩的法国领事认证申请，至今日9号，已过了8天，期间没收到受理情况的消息，与贵处工作人员短信联系，亦无后文。因为行程安排迫切，我申请提交时是要求加急件处理，劳烦见字后请督促急件安排，并且请有劳通知我们时下申请的进程。谢谢！
		","??? 我办于12月9日收到您提交的相关咨询后，速转我办业务处室予以研究，提出处理意见，经审核，现正式答复如下：??? 1.深圳外办可受理由深圳市范围内公证处出具的公证书的认证服务，您所提交的公证书为广州市公证处出具的，我办仅可代送至省外办进行认证；??? 2.我办领事认证的受理时间为2个工作日（受理日除外），核实公证书符合认证要求后，代送至广东省外事服务中心进行认证，认证时间需2个工作日（受理日除外），即需受理的第5个工作日才能从省外办寄出至深圳；??? 3.我办于12月9日上午收到省外事服务中心寄出的快递，在进行完费用核对后，已于下午通知您前来取件。您可携带黄色受理单到我办领取领事认证书。??? 4.为更方便您了解，您可以拔打咨询电话：88120330进行具体的业务咨询。谢谢您对我办工作的支持和理解，以上情况特此告知。
		
		",9.347651541702362e-10
