编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
17954,网络出租屋刚办了张网吧的营业执照就成网吧了吗,(已撤销)深圳市公安局消防监督管理局,2015.08.18,2015.08.24,"我2011年在沙井开了140平方间网络出租屋，是经派出所批准的，今年6月份由于上面通知要办理营业执照，我就去办了一张。但是现在网吧不能申请个体工商营业执照，就找了一间公司办了张分支机构的网吧营业执照。（只是办了营业执照，其他的全是网租的）营业执照办下来后，派出所的消防监督组过来说我这里网吧，要出示消防批文，但是我这幢楼是自建房，没房产证不能办。我要公司取消我的营业执照，但是流程的时间很长，派出所消防监督组给我时间不够办理，请问我现在该怎么办？请回复，谢谢！
		","您好，感谢您对消防工作的支持！建议您拨打宝安分局消防监督管理大队办事窗口电话：27660219进行咨询了解，地址：宝安区新安三路海关大厦9楼行政服务大厅6号窗口。
		
		",0.0
9121,房中房改建及消防安全问题咨询,(已撤销)深圳市公安局消防监督管理局,2016.06.24,2016.08.10,"你好，我原本租住的福田区南方国际广场B座1509号房，原为约40平米的单间商业用房，房东将其所有的1508-1511号房每间都改装成3到5间的隔断房出租，我想请问这种房间是否不能对外出租？该改造的房子中，有多个小的隔断洗手间，面积仅约1平方米，使用的是电热水器，花洒离热水器插座、灯泡及排风距离不足0.5米，洗浴时会溅到这些无防水罩保护的电器，请问这种是否存在重大安全隐患？另外我想请问这种情况是不是非法改建？如果需要改建需要得到哪些部门的文件批复？是否需要重新进行安全验收？因为居住在改隔断间的租客公约有15人，还请监管部门注意，谢谢！
		","您好，感谢您对消防工作的支持！对涉嫌改建的问题，建议向街道安监科和住建局反映。另，已要求南方国际广场管理处加强日常消防管理，严防消防事故发生。
		
		",0.0
9332,邻居防盗门外开 有消防和安全隐患 ,(已撤销)深圳市公安局消防监督管理局,2016.07.21,2016.08.01,"你好 我是深圳龙岗区平湖融湖中心城2E2603的业主 我的邻居2E2604防盗门外开 门完全打开的时候遮挡了进出通道的大部分空间 就剩一点点空间 物业说防盗门可以改为外开 但是前提是不影响消防安全和邻居的进出 如果坚持想外开 必须征得邻居同意 所以对我的邻居下过整改通知书 但是对方拒绝更改 我曾经在上个月在深圳消费管理局网站上投诉过 辅城派出所的工作人员曾经上门查看过说回去研究一下 但是等我之后去派出所了解进度时 办理此事的警官告诉我对方的门只有开关的时候挡住通道 不算消防隐患 不违法消防规定 只能劝对方 不能下整改 我不能理解 不接受这种说法 如果一个通道走廊 大家都以此门外开 如遇紧急状况 前面的人都从房间里面跑出去 不会想到还关门 那最里面那个人岂不是像走迷宫一样得左拐右绕跑出来 严重影响疏散速度啊 我也在网上查过案例 都是消防帮忙解决的此事 比如下面这个 http://szb.hynews.net/hhwb/html/2012-10/16/content_2471292.htm 是龙岗区的消防规则和深圳不一样 还是深圳和别的地方不一样啊 盼解决 谢谢
		","您好，感谢您对消防工作的支持！平湖街道融湖中心城2E2604号房住户安装的防盗门外开不会堵塞疏散通道。
		
		",0.0
20145,顶楼工厂消防水压和安全出口灯,(已撤销)深圳市公安局消防监督管理局,2015.05.21,2015.05.22,"您好：（派出所检查后第一次下发责令限期整改通知书） 请问：我公司在顶楼，有1000平米面积，消防栓6个，物业公司有深圳市公安局宝安分局消防大队颁发的《建筑工程消防验收意见书》，进驻后我们对消防设施未作任何改动，而且顶楼的消防水池也是满满的，请问水枪喷射的水压力不够怎么判断？ 2 门口安全出口指示牌和应急灯是二合一的，在有电的情况下都不亮，在停电的情况下应急灯灯和指示牌都发光，下边还有反光的安全出口标识牌，（不过我会及时更换成独立的指示牌和应急灯），这种情况合理的处罚是限期整改，不应该罚款吧。
		","您好，感谢您对消防工作的支持！您的咨询可拨打宝安办事窗口电话27660219进行咨询了解。
		
		",6.661338147750939e-16
9758,沙埔头大厦安全隐患严重,(已撤销)深圳市公安局消防监督管理局,2016.06.24,2016.07.11,"消防设备老旧且生锈灰尘等。甚至五楼六楼的消防栓都没有灭火设备，电源线路老化严重，出现乱接的情况。均会出现跳闸等情况，尤其是现在夏天用电多。6楼走廊上面位置放置了很多热水器或者空调等设备，掉下来就严重了。楼梯口防止自行车、破旧保险柜、梯子等情况、严重阻碍消防通道的使用，我不清楚该楼是怎么经过每年的消防检查的，但是这样隐患很严重，消防方面令人堪忧啊。
		","您好，感谢您对消防工作的支持！经核查，沙埔头大厦位于深圳市福田区爱华路，有4栋，该楼宇有7层，一、二楼作为商业楼层，3-7层为住宅楼层，楼高约21米。目前，沙埔头大厦3、4栋存在的隐患问题正由安监科牵头进行整治。
		
		",2.0872192862952943e-14
18403,网租出租屋拿了营业执照就成网吧了吗？,(已撤销)深圳市公安局消防监督管理局,2015.07.30,2015.08.06,"我在宝安沙井开了间网络出租屋，今年初上面要求我们办理营业执照。我就办了一张，由于现在办理网吧营业执照只能办企业的，所以办不了个体的工商营业执照。营业执照办下来后，派出所的消防警察过来说我的网络出租屋是网吧了，要办理消防批文，还要按规定进行处罚。请问这样合不合理。我应怎样做。我网络出租屋有前后门，消防指示标志也有，也配有灭火器的，
		","您好，感谢您对消防工作的支持！建议您拨打宝安办事窗口电话：27660219咨询了解，地址：宝安区新安三路海关大厦9楼行政服务大厅6号窗口。
		
		",1.13464793116691e-13
17895,因消防隐患查封的黑网吧现继续营业,(已撤销)深圳市公安局消防监督管理局,2015.08.11,2015.08.25,"深圳市龙岗区平湖街道福星街75号原“双龙网吧”现改名为“荣联网域三井综合服务店” ，该网吧无任何相关的消防合格批文、文化经营许可证。现场无任何消防设备环境非常挤迫，如发生火灾，根本来不及疏散，存在严重消防安全隐患。 当时投诉后平湖派出所电话回访，该网吧的确存在消防隐患，已勒令停业并查封。并让我监督该网吧如果开业通知平湖派出所。随后该网吧未作任何改动，现在在继续营业。我打电话到平湖派出所告知，但未得到任何回应。到底存在什么问题？希望相关执法部门秉公严格查处。
		","您好，感谢您对消防工作的支持！经核查，该场所二楼已被查封搬空，一楼面积60平方米，属于三小网吧，不需要消防批文，该场所有营业执照。已将核查情况反馈给举报投诉人。
		
		",1.567634910770721e-13
19946,照明电线敷设,(已撤销)深圳市公安局消防监督管理局,2015.05.29,2015.06.03,"您好，我公司在以前安装照明电线时，根据《宝安区安全生产“一岗双责”》系统网上申报的内容要求，（在通用检查项，电气安全，电气线路项目里面有以下内容）“水平敷设的低于2.5米，垂直敷设低于1.8米的电缆电线，应有保护导管或入线槽”。我们的电线在阻燃天花板上面，高度在3米以上，电线没有做穿管或入槽处理，按照上面的规定，是允许这样敷设的，还是必须作穿管或入线槽处理的？如果不管高度是多少，都必须穿管入槽，我马上整改。请指教。
		","您好，感谢您对消防工作的支持！关于您的咨询，建议拨打宝安分局办事窗口电话：0755-27660219进行了解。
		
		",6.181721801112872e-12
20632,投诉宝安24区的黑网吧,(已撤销)深圳市公安局消防监督管理局,2015.04.17,2015.04.28,"尊敬的施局长：您好，位于宝安24区三坊九巷4号有一家大型黑网吧，无任何消防及公安手续，消防隐患极大，该黑吧从14年开业至今，接受小学生上网，对周边居民产生了极坏的影，主管的宝民派出所不作为，任由其非法经营，我们不得不求助市局领导，希望施局长能制止此非法经营，还周边居民一个安全的生活环境。现在中央老虎苍蝇一起打，希望不要让这小小的苍蝇影响公安部门的公正严明。
		","您好，感谢您对消防工作的支持！经核查，已对该网吧存在消防违法行为的下发《责令限期改正通知书》并电话告知投诉人。
		
		",1.6956502868481493e-10
18071,光明新区公安分局2015年招聘的消防巡查员上岗情况f,(已撤销)深圳市公安局消防监督管理局,2015.08.06,2015.08.18,"尊敬的领导： 您们好！我想询问光明新区公安分局2015年6月份招聘的消防巡查员什么时候能上岗？今年6月30日至7月2日，150名消防巡查员从东莞培训回来，已经有1个多月之久！现在除了老队员回来正常上班以外，其他新队员都还没有签合同和正式上岗，我想询问一下什么时候能上岗？请上级领导给予答复！谢谢！！！
		","您好，感谢您对消防工作的支持！关于您的咨询回复如下：光明分局第一批消防巡查员招投标工作已经完成，即将签订相关工作合同，各派出所消防巡查员近日将上岗开展工作。
		
		",3.5959568656096508e-09
